29	ने	ने	PSP:ने	28	lwg__psp
30	रचा	रचा	VM	0	ROOT
31	इतिहास	इतिहास	NN	33	mod
32	‘	‘	JJ	33	nmod__adj
33	फौजी	फौजी	NN	30	k2
34	हेयरकट	हेयरकट	NNP	36	k2p
35	नहीं	नहीं	NEG	36	lwg__neg
36	समझे	समझ	VM	33	ccof
37	छात्र	छात्र	NN	64	k7p
38	तो	तो	RP	37	lwg__rp
39	लिया	ले	VM	64	vmod
40	योगी	योगी	NN	42	r6
41	का	का	PSP:का	40	lwg__psp
42	नाम	नाम	NN	64	k1
43	’	’	JJ	44	nmod__adj
44	ALERT!	ALERT!	NN	64	k1
45	9	9	QC	64	k1
46	खाने	खा	VM	50	k7
47	में	में	PSP:में	46	lwg__psp
48	प्रोटीन	प्रोटीन	NN	50	k1
49	शामिल	शामिल	JJ	50	pof
50	करें	कर	VM	64	vmod
51	,	,	,	50	rsym
52	शुगर	शुगर	NN	55	k5
53	से	से	PSP:से	52	lwg__psp
54	परहेज	परहेज	JJ	55	pof
55	करें	कर	VM	57	vmod
56	फिट	फिट	NN	57	pof
57	रहने	रह	VM	64	rt
58	के	का	PSP:का	57	lwg__psp
59	लिए	ले	PSP:ले	57	lwg__psp
60	न्यूट्रिशंस	न्यूट्रिशंस	NN	64	k5
61	से	से	PSP:से	60	lwg__psp
62	भरपूर	भरपूर	JJ	63	nmod__adj
63	डाइट	डाइट	NN	64	pof
64	लें	ले	VM	36	ccof
65	.	.	.	64	rsym

1	10	10	QC	3	nmod__adj
2	बंगाल	बंगाल	NNP	3	mod
3	टाइगर	टाइगर	NN	7	k1
4	भी	भी	RP	3	lwg__rp
5	यहां	यहाँ	PRP	7	k7p
6	पर	पर	PSP:पर	5	lwg__psp
7	हैं	है	VM	0	main
8	.	.	.	7	rsym

1	11	11	QC	2	nmod__adj
2	PM-	PM-	NN	9	k1
3	दोनों	दोना	NN	5	nmod__adj
4	अक्षरधाम	अक्षरधाम	JJ	5	nmod__adj
5	गेट	गेट	NN	9	k5
6	से	से	PSP:से	5	lwg__psp
7	पैदल	पैदल	NN	9	k7t
8	अंदर	अंदर	NST	7	lwg__psp
9	गए	गए	VM	0	main
10	.	.	.	9	rsym

1	12	12	QC	3	nmod__adj
2	PM-	PM-	JJ	3	nmod__adj
3	मोदी	मोदी	NN	4	ccof
4	और	और	CC:और	19	k2
5	मैल्कम	मैल्कम	NN	4	ccof
6	ने	ने	PSP:ने	5	lwg__psp
7	सीढ़ियों	सीढ़ियों	NN	12	k7t
8	के	का	PSP:का	7	lwg__psp
9	पास	पास	NST	7	lwg__psp
10	अपने	अपना	PRP	11	r6
11	जूते	जूता	NN	12	k2
12	उतारे	उतार	VM	19	vmod
13	,	,	,	12	rsym
14	फिर	फिर	RB	19	adv
15	मंदिर	मंदिर	NN	19	ras-k1
16	के	का	PSP:का	15	lwg__psp
17	अंदर	अंदर	NST	15	lwg__psp
18	प्रवेश	प्रवेश	NN	19	pof
19	किया	कर	VM	0	main
20	.	.	.	19	rsym

1	13	13	QC	2	nmod__adj
2	PM-	PM-	NN	0	ROOT
3	अंदर	अंदर	NST	2	lwg__psp
4	पुजारी	पुजारी	NN	0	ROOT
5	ने	ने	PSP:ने	4	lwg__psp
6	ऑस्ट्रेलिया	ऑस्ट्रेलिया	NNP	8	r6
7	के	का	PSP:का	6	lwg__psp
8	प्रधानमंत्री	प्रधानमंत्री	NN	0	ROOT
9	को	को	PSP:को	8	lwg__psp
10	आचार्य	आचार्य	JJ	11	mod
11	स्वामीनारायण	स्वामीनारायण	XC	12	ccof
12	और	और	CC:और	0	ROOT
13	अक्षरधाम	अक्षरधाम	JJ	14	nmod__adj
14	मंदिर	मंदिर	NN	19	k7
15	के	का	PSP:का	14	lwg__psp
